country;zip;city;zeros
NO;0464;OSLO;0
NO;0465;OSLO;0
NO;0467;OSLO;0
NO;0468;OSLO;0
NO;0469;OSLO;0
NO;0470;OSLO;0
NO;0472;OSLO;0
NO;0473;OSLO;0
NO;0474;OSLO;0
NO;0475;OSLO;0
NO;0476;OSLO;0
NO;0477;OSLO;0
NO;0478;OSLO;0
NO;0479;OSLO;0
NO;0480;OSLO;0
NO;0481;OSLO;0
NO;0482;OSLO;0
NO;0483;OSLO;0
NO;0484;OSLO;0
NO;0485;OSLO;0
NO;0486;OSLO;0
NO;0487;OSLO;0
NO;0488;OSLO;0
NO;0489;OSLO;0
NO;0490;OSLO;0
NO;0491;OSLO;0
NO;0492;OSLO;0
NO;0493;OSLO;0
NO;0494;OSLO;0
NO;0495;OSLO;0
NO;0496;OSLO;0
NO;0501;OSLO;0
NO;0502;OSLO;0
NO;0503;OSLO;0
NO;0504;OSLO;0
NO;0505;OSLO;0
NO;0506;OSLO;0
NO;0507;OSLO;0
NO;0508;OSLO;0
NO;0509;OSLO;0
NO;0510;OSLO;0
NO;0511;OSLO;0
NO;0512;OSLO;0
NO;0513;OSLO;0
NO;0515;OSLO;0
NO;0516;OSLO;0
NO;0517;OSLO;0
NO;0518;OSLO;0
NO;0520;OSLO;0
NO;0540;OSLO;0
NO;0550;OSLO;0
NO;0551;OSLO;0
NO;0552;OSLO;0
NO;0553;OSLO;0
NO;0554;OSLO;0
NO;0555;OSLO;0
NO;0556;OSLO;0
NO;0557;OSLO;0
NO;0558;OSLO;0
NO;0559;OSLO;0
NO;0560;OSLO;0
NO;0561;OSLO;0
NO;0562;OSLO;0
NO;0563;OSLO;0
NO;0564;OSLO;0
NO;0565;OSLO;0
NO;0566;OSLO;0
NO;0567;OSLO;0
NO;0568;OSLO;0
NO;0569;OSLO;0
NO;0570;OSLO;0
NO;0571;OSLO;0
NO;0572;OSLO;0
NO;0573;OSLO;0
NO;0574;OSLO;0
NO;0575;OSLO;0
NO;0576;OSLO;0
NO;0577;OSLO;0
NO;0578;OSLO;0
NO;0579;OSLO;0
NO;0580;OSLO;0
NO;0581;OSLO;0
NO;0582;OSLO;0
NO;0583;OSLO;0
NO;0584;OSLO;0
NO;0585;OSLO;0
NO;0586;OSLO;0
NO;0587;OSLO;0
NO;0588;OSLO;0
NO;0589;OSLO;0
NO;0590;OSLO;0
NO;0591;OSLO;0
NO;0592;OSLO;0
NO;0593;OSLO;0
NO;0594;OSLO;0
NO;0595;OSLO;0
NO;0596;OSLO;0
NO;0597;OSLO;0
NO;0598;OSLO;0
NO;0601;OSLO;0
NO;0602;OSLO;0
NO;0603;OSLO;0
